Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,3233.15,3355.18,3211.28,3348.67,000,3348.67
2014-10-20,3027.01,3255.14,3020.40,3244.19,000,3244.19
2014-10-13,3017.27,3048.78,2860.45,3017.54,000,3017.54
2014-10-06,3114.52,3121.69,2973.63,3012.05,000,3012.05
2014-09-29,3097.78,3152.16,2998.23,3093.05,000,3093.05
2014-09-22,3101.87,3162.05,3055.87,3127.09,000,3127.09
2014-09-15,3076.26,3137.02,3006.48,3108.26,000,3108.26
2014-09-08,3083.86,3141.92,3064.62,3081.70,000,3081.70
2014-09-02,3152.85,3161.70,3037.10,3087.77,000,3087.77
2014-08-25,3043.71,3142.15,3041.19,3131.89,000,3131.89
2014-08-18,2911.20,2980.73,2911.20,2952.22,000,2952.22
2014-08-11,2798.95,2930.51,2776.20,2911.20,000,2911.20
2014-08-04,2762.09,2801.86,2734.83,2785.46,000,2785.46
2014-07-28,2752.06,2862.81,2704.86,2743.50,000,2743.50
2014-07-21,2719.08,2823.84,2694.18,2747.18,000,2747.18
2014-07-14,2817.11,2820.72,2647.52,2724.32,000,2724.32
2014-07-07,2848.09,2860.74,2710.78,2794.38,000,2794.38
2014-06-30,2765.17,2863.73,2760.14,2854.98,000,2854.98
2014-06-23,2750.95,2814.65,2719.05,2764.48,000,2764.48
2014-06-16,2701.85,2749.46,2690.60,2749.22,000,2749.22
2014-06-09,2670.32,2720.28,2655.18,2707.14,000,2707.14
2014-06-02,2592.31,2679.90,2543.03,2662.52,000,2662.52
2014-05-27,2568.17,2614.14,2566.39,2586.71,000,2586.71
2014-05-19,2504.42,2581.01,2490.97,2548.52,000,2548.52
2014-05-12,2505.17,2583.12,2469.80,2502.03,000,2502.03
2014-05-05,2477.42,2562.06,2431.82,2505.17,000,2505.17
2014-04-28,2434.08,2564.34,2361.58,2495.65,000,2495.65
2014-04-21,2462.42,2569.03,2408.28,2416.53,000,2416.53
2014-04-14,2406.21,2488.49,2270.48,2445.88,000,2445.88
2014-04-07,2490.31,2585.53,2371.02,2374.30,000,2374.30
2014-03-31,2535.76,2698.32,2478.91,2499.57,000,2499.57
2014-03-24,2700.54,2704.07,2495.58,2506.56,000,2506.56
2014-03-17,2761.85,2853.41,2680.04,2685.74,000,2685.74
2014-03-10,2814.94,2842.62,2719.38,2736.11,000,2736.11
2014-03-03,2784.70,2904.72,2747.10,2820.44,000,2820.44
2014-02-24,2776.13,2963.54,2772.12,2814.71,000,2814.71
2014-02-18,2652.34,2787.97,2647.71,2758.55,000,2758.55
2014-02-10,2541.06,2667.43,2527.78,2633.63,000,2633.63
2014-02-03,2536.17,2543.29,2402.74,2530.82,000,2530.82
2014-01-27,2524.94,2587.37,2428.46,2536.01,000,2536.01
2014-01-21,2606.59,2638.00,2526.68,2526.68,000,2526.68
2014-01-13,2487.31,2592.18,2405.09,2568.90,000,2568.90
2014-01-06,2339.86,2481.89,2302.25,2481.89,000,2481.89
2013-12-30,2340.53,2350.28,2305.93,2330.54,000,2330.54
2013-12-23,2288.55,2362.30,2288.55,2343.91,000,2343.91
2013-12-16,2231.93,2293.98,2192.38,2288.55,000,2288.55
2013-12-09,2298.42,2298.89,2195.66,2221.98,000,2221.98
2013-12-02,2313.01,2315.98,2253.50,2286.02,000,2286.02
2013-11-25,2295.33,2328.07,2274.85,2312.41,000,2312.41
2013-11-18,2229.16,2297.49,2170.52,2286.15,000,2286.15
2013-11-11,2128.19,2225.82,2114.83,2224.17,000,2224.17
2013-11-04,2180.73,2187.32,2046.83,2130.22,000,2130.22
2013-10-28,2210.71,2223.23,2146.66,2177.11,000,2177.11
2013-10-21,2165.21,2216.97,2115.72,2209.99,000,2209.99
2013-10-14,2075.34,2186.80,2063.19,2161.13,000,2161.13
2013-10-07,2186.07,2186.07,1990.53,2092.16,000,2092.16
2013-09-30,2174.44,2226.97,2166.61,2206.93,000,2206.93
2013-09-23,2214.68,2228.56,2170.41,2195.15,000,2195.15
2013-09-16,2236.80,2259.60,2204.68,2217.11,000,2217.11
2013-09-09,2164.21,2233.38,2164.21,2208.19,000,2208.19
2013-09-03,2081.84,2169.77,2077.40,2159.62,000,2159.62
2013-08-26,2084.85,2128.63,2030.58,2057.01,000,2057.01
2013-08-19,2005.66,2099.00,1994.82,2075.17,000,2075.17
2013-08-12,2092.51,2093.68,2001.37,2005.12,000,2005.12
2013-08-05,2172.49,2191.62,2091.30,2104.56,000,2104.56
2013-07-29,2132.89,2193.44,2109.48,2177.40,000,2177.40
2013-07-22,2170.16,2180.96,2079.97,2144.05,000,2144.05
2013-07-15,2180.37,2189.40,2142.70,2167.62,000,2167.62
2013-07-08,2036.95,2194.75,2017.74,2178.67,000,2178.67
2013-07-01,1980.75,2036.95,1980.75,2036.95,000,2036.95
2013-06-24,1836.74,1980.65,1812.88,1956.26,000,1956.26
2013-06-17,1925.02,1940.25,1835.18,1862.72,000,1862.72
2013-06-10,1959.06,1961.14,1895.39,1906.68,000,1906.68
2013-06-03,1988.20,1988.20,1864.49,1954.21,000,1954.21
2013-05-28,2004.66,2026.89,1977.87,1983.77,000,1983.77
2013-05-20,2002.07,2049.34,1937.68,1982.63,000,1982.63
2013-05-13,1998.19,2068.43,1985.88,2006.60,000,2006.60
2013-05-06,1952.92,2006.93,1928.05,1998.19,000,1998.19
2013-04-29,1925.80,1976.55,1890.74,1949.39,000,1949.39
2013-04-22,1920.04,1952.73,1888.43,1917.60,000,1917.60
2013-04-15,1878.91,1920.55,1793.42,1919.45,000,1919.45
2013-04-08,1812.11,1876.95,1793.54,1876.13,000,1876.13
2013-04-01,1830.67,1847.72,1784.68,1808.19,000,1808.19
2013-03-25,1788.02,1831.62,1763.02,1826.75,000,1826.75
2013-03-18,1764.64,1801.63,1758.86,1791.65,000,1791.65
2013-03-11,1785.07,1814.79,1782.85,1798.12,000,1798.12
2013-03-04,1719.98,1791.59,1717.49,1789.04,000,1789.04
2013-02-25,1678.41,1729.33,1638.04,1728.64,000,1728.64
2013-02-19,1681.17,1690.90,1640.13,1669.84,000,1669.84
2013-02-11,1690.11,1695.20,1660.12,1683.44,000,1683.44
2013-02-04,1668.96,1698.12,1653.60,1690.11,000,1690.11
2013-01-28,1673.73,1685.95,1648.16,1682.32,000,1682.32
2013-01-22,1664.14,1680.47,1649.37,1680.12,000,1680.12
2013-01-14,1638.31,1667.26,1638.31,1663.23,000,1663.23
