Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,165.44,171.31,164.04,170.95,000,170.95
2014-10-20,161.66,166.35,160.83,166.11,000,166.11
2014-10-13,160.22,163.46,153.58,161.70,000,161.70
2014-10-06,169.93,169.95,160.05,160.08,000,160.08
2014-09-29,169.72,170.16,165.39,169.26,000,169.26
2014-09-22,174.18,174.34,169.51,170.96,000,170.96
2014-09-15,173.33,177.33,171.87,174.49,000,174.49
2014-09-08,166.63,175.03,166.59,173.70,000,173.70
2014-09-02,167.60,169.03,164.39,166.87,000,166.87
2014-08-25,167.45,169.31,165.54,167.05,000,167.05
2014-08-18,163.10,167.01,163.10,166.65,000,166.65
2014-08-11,161.97,164.41,161.01,163.10,000,163.10
2014-08-04,161.35,163.27,159.49,161.62,000,161.62
2014-07-28,158.96,166.04,157.87,160.95,000,160.95
2014-07-21,156.46,161.07,155.99,159.01,000,159.01
2014-07-14,156.74,157.99,154.08,157.28,000,157.28
2014-07-07,162.06,162.06,152.99,155.57,000,155.57
2014-06-30,159.23,162.61,158.90,162.45,000,162.45
2014-06-23,160.86,160.98,157.23,159.13,000,159.13
2014-06-16,156.69,161.38,155.66,160.97,000,160.97
2014-06-09,157.44,159.29,155.49,156.89,000,156.89
2014-06-02,153.38,157.64,151.40,157.61,000,157.61
2014-05-27,154.09,155.84,152.92,153.09,000,153.09
2014-05-19,148.51,153.13,148.19,153.09,000,153.09
2014-05-12,152.36,156.95,147.39,148.98,000,148.98
2014-05-05,154.96,155.40,149.86,152.36,000,152.36
2014-04-28,154.38,157.50,150.58,156.10,000,156.10
2014-04-21,154.46,157.33,153.00,154.38,000,154.38
2014-04-14,148.47,154.96,146.32,154.37,000,154.37
2014-04-07,154.21,154.42,146.61,146.88,000,146.88
2014-03-31,158.38,164.00,153.54,154.45,000,154.45
2014-03-24,163.43,164.03,156.18,157.14,000,157.14
2014-03-17,159.90,165.98,159.88,163.12,000,163.12
2014-03-10,163.88,164.67,158.33,158.88,000,158.88
2014-03-03,158.80,164.86,156.41,164.24,000,164.24
2014-02-24,158.51,161.29,157.39,159.77,000,159.77
2014-02-18,157.02,159.27,155.71,158.43,000,158.43
2014-02-10,153.20,157.50,152.74,156.67,000,156.67
2014-02-03,154.01,154.17,148.05,153.23,000,153.23
2014-01-27,157.42,157.60,152.92,153.82,000,153.82
2014-01-21,162.30,163.60,156.42,157.20,000,157.20
2014-01-13,160.56,162.77,157.87,161.33,000,161.33
2014-01-06,161.35,162.14,159.09,160.63,000,160.63
2013-12-30,158.88,161.30,158.10,160.91,000,160.91
2013-12-23,157.80,159.99,157.80,158.91,000,158.91
2013-12-16,153.66,158.03,152.13,157.80,000,157.80
2013-12-09,154.34,155.01,152.44,153.31,000,153.31
2013-12-02,154.38,155.20,150.72,154.25,000,154.25
2013-11-25,153.10,155.09,153.10,154.39,000,154.39
2013-11-18,148.17,153.00,147.54,152.99,000,152.99
2013-11-11,144.68,148.25,143.96,148.09,000,148.09
2013-11-04,141.37,144.64,140.73,144.64,000,144.64
2013-10-28,142.21,143.10,139.72,141.46,000,141.46
2013-10-21,141.96,142.37,139.83,142.12,000,142.12
2013-10-14,136.75,142.13,136.57,142.03,000,142.03
2013-10-07,135.64,138.11,132.08,137.90,000,137.90
2013-09-30,137.17,138.24,134.12,136.46,000,136.46
2013-09-23,139.38,140.29,137.21,138.25,000,138.25
2013-09-16,140.03,141.48,138.31,139.75,000,139.75
2013-09-09,136.43,140.53,136.43,138.68,000,138.68
2013-09-03,132.25,136.87,131.83,136.27,000,136.27
2013-08-26,134.57,135.62,130.54,131.03,000,131.03
2013-08-19,132.46,134.76,131.64,134.64,000,134.64
2013-08-12,133.67,135.90,132.10,132.89,000,132.89
2013-08-05,135.75,136.48,132.89,134.31,000,134.31
2013-07-29,133.60,136.38,132.34,136.10,000,136.10
2013-07-22,134.22,135.36,133.53,133.94,000,133.94
2013-07-15,133.52,134.81,131.92,134.32,000,134.32
2013-07-08,130.73,134.40,130.73,133.03,000,133.03
2013-07-01,126.20,130.75,126.20,130.73,000,130.73
2013-06-24,123.16,126.54,120.99,125.46,000,125.46
2013-06-17,125.00,128.46,122.62,124.24,000,124.24
2013-06-10,126.68,127.18,122.94,123.95,000,123.95
2013-06-03,123.30,126.35,119.57,126.26,000,126.26
2013-05-28,122.59,125.73,122.54,123.64,000,123.64
2013-05-20,124.94,126.59,119.83,121.42,000,121.42
2013-05-13,119.68,125.25,119.16,125.16,000,125.16
2013-05-06,116.17,119.69,116.08,119.68,000,119.68
2013-04-29,111.40,116.79,110.25,116.20,000,116.20
2013-04-22,108.44,112.42,107.19,111.19,000,111.19
2013-04-15,111.65,112.16,106.98,108.38,000,108.38
2013-04-08,108.55,114.02,108.20,112.34,000,112.34
2013-04-01,107.56,110.06,105.48,108.33,000,108.33
2013-03-25,109.38,109.82,106.59,107.87,000,107.87
2013-03-18,110.06,111.05,108.34,109.04,000,109.04
2013-03-11,109.98,111.40,109.47,111.00,000,111.00
2013-03-04,105.72,110.15,105.44,110.02,000,110.02
2013-02-25,108.06,108.25,104.32,105.87,000,105.87
2013-02-19,109.58,109.94,105.56,107.49,000,107.49
2013-02-11,106.95,109.56,106.79,109.22,000,109.22
2013-02-04,105.02,107.36,104.70,106.95,000,106.95
2013-01-28,102.21,106.17,101.71,106.00,000,106.00
2013-01-22,100.10,102.16,100.06,102.15,000,102.15
2013-01-14,98.16,100.38,97.17,100.35,000,100.35
2013-01-07,98.57,98.57,96.84,98.16,000,98.16
2012-12-31,92.85,98.88,92.77,98.80,000,98.80
2012-12-24,92.93,93.81,92.20,93.03,000,93.03
2012-12-17,88.63,93.65,88.63,93.12,000,93.12
2012-12-10,87.59,88.84,86.73,88.21,000,88.21
2012-12-03,87.66,87.96,86.51,87.81,000,87.81
2012-11-26,84.61,87.63,84.23,87.42,000,87.42
2012-11-19,82.78,84.19,82.12,84.19,000,84.19
2012-11-12,82.87,83.12,79.56,81.08,000,81.08
2012-11-05,85.91,87.78,81.95,82.10,000,82.10
2012-10-31,84.19,86.71,83.92,85.99,000,85.99
2012-10-22,84.09,84.61,82.26,84.28,000,84.28
2012-10-15,83.74,87.56,83.15,84.04,000,84.04
2012-10-08,84.61,85.19,83.12,83.35,000,83.35
2012-10-01,82.59,86.18,82.59,85.23,000,85.23
2012-09-24,84.56,85.15,81.40,82.59,000,82.59
2012-09-17,89.20,89.47,84.52,85.28,000,85.28
2012-09-10,85.55,90.28,84.81,89.63,000,89.63
2012-09-04,81.33,85.82,80.61,85.82,000,85.82
2012-08-27,80.90,81.65,79.61,81.20,000,81.20
2012-08-20,80.69,82.80,79.56,80.90,000,80.90
2012-08-13,79.91,81.10,79.55,80.86,000,80.86
2012-08-06,78.70,80.90,77.91,80.12,000,80.12
2012-07-30,83.27,83.88,74.34,78.44,000,78.44
2012-07-23,80.19,83.98,79.01,83.65,000,83.65
2012-07-16,85.55,86.86,81.23,81.36,000,81.36
2012-07-09,85.78,85.94,83.09,85.80,000,85.80
2012-07-02,88.04,89.05,86.00,86.32,000,86.32
2012-06-25,85.31,87.82,82.64,87.82,000,87.82
2012-06-18,86.22,88.17,84.64,85.75,000,85.75
2012-06-11,86.74,86.90,83.87,86.67,000,86.67
2012-06-04,82.88,87.89,81.23,85.86,000,85.86
2012-05-29,86.74,87.80,83.00,83.00,000,83.00
2012-05-21,85.01,88.27,84.26,86.00,000,86.00
2012-05-14,90.06,90.06,84.78,84.98,000,84.98
2012-05-07,94.02,95.01,90.31,90.96,000,90.96
2012-04-30,99.30,100.01,94.33,94.68,000,94.68
2012-04-23,96.98,100.33,96.18,99.61,000,99.61
2012-04-16,100.25,100.80,98.40,98.51,000,98.51
2012-04-09,100.96,102.43,98.56,99.14,000,99.14
2012-04-02,105.55,106.91,102.54,102.80,000,102.80
2012-03-26,108.71,109.41,104.02,105.43,000,105.43
2012-03-19,107.62,109.66,105.77,107.82,000,107.82
2012-03-12,101.83,108.28,100.85,107.47,000,107.47
2012-03-05,101.17,102.31,97.57,101.94,000,101.94
2012-02-27,99.28,102.54,98.39,101.48,000,101.48
2012-02-21,98.45,100.69,97.48,100.05,000,100.05
2012-02-13,95.81,98.50,94.95,98.26,000,98.26
2012-02-06,96.96,97.63,95.43,95.80,000,95.80
2012-01-30,91.81,97.48,90.87,97.46,000,97.46
2012-01-23,95.15,96.25,91.25,92.39,000,92.39
2012-01-17,89.57,95.30,87.42,95.20,000,95.20
2012-01-09,87.02,90.48,86.51,89.35,000,89.35
2012-01-03,84.55,87.27,84.05,86.63,000,86.63
2011-12-27,84.75,84.89,82.35,83.27,000,83.27
2011-12-19,81.03,84.92,78.55,84.79,000,84.79
2011-12-12,84.91,85.40,80.46,80.79,000,80.79
2011-12-05,85.75,88.52,84.17,86.29,000,86.29
2011-11-28,79.51,86.14,78.40,84.38,000,84.38
2011-11-21,78.90,79.28,75.88,76.38,000,76.38
2011-11-14,85.71,85.71,79.10,79.74,000,79.74
2011-11-07,88.82,90.23,83.83,85.71,000,85.71
2011-10-31,95.70,95.70,84.70,88.82,000,88.82
2011-10-24,87.80,97.35,85.89,95.70,000,95.70
2011-10-17,86.31,88.11,83.20,87.80,000,87.80
2011-10-10,80.54,87.41,80.54,86.31,000,86.31
2011-10-03,79.98,83.88,73.33,80.54,000,80.54
2011-09-26,81.58,86.75,79.98,79.98,000,79.98
2011-09-19,89.42,89.42,78.61,81.58,000,81.58
2011-09-12,83.30,90.46,81.42,89.42,000,89.42
2011-09-06,86.35,88.50,82.84,83.30,000,83.30
2011-08-29,88.29,93.93,86.17,86.35,000,86.35
2011-08-22,84.07,91.63,83.13,88.29,000,88.29
2011-08-15,89.73,92.23,83.95,84.07,000,84.07
2011-08-08,95.43,95.43,84.97,89.73,000,89.73
