Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,1525.29,1549.17,1522.01,1535.29,000,1535.29
2014-10-20,1446.53,1529.61,1444.23,1528.54,000,1528.54
2014-10-13,1487.99,1500.61,1425.90,1463.55,000,1463.55
2014-10-06,1550.81,1556.30,1487.71,1487.75,000,1487.75
2014-09-29,1538.39,1565.09,1516.35,1545.24,000,1545.24
2014-09-22,1574.78,1575.90,1535.41,1556.56,000,1556.56
2014-09-15,1571.73,1583.56,1548.87,1577.67,000,1577.67
2014-09-08,1564.42,1581.81,1552.85,1569.11,000,1569.11
2014-09-02,1568.41,1571.74,1549.09,1564.25,000,1564.25
2014-08-25,1568.13,1569.37,1552.85,1565.86,000,1565.86
2014-08-18,1530.44,1565.60,1530.44,1561.95,000,1561.95
2014-08-11,1504.63,1536.43,1499.26,1530.44,000,1530.44
2014-08-04,1509.89,1522.89,1485.70,1500.21,000,1500.21
2014-07-28,1545.64,1553.95,1499.11,1507.03,000,1507.03
2014-07-21,1520.50,1550.61,1512.30,1546.03,000,1546.03
2014-07-14,1500.89,1524.69,1492.16,1520.81,000,1520.81
2014-07-07,1493.50,1498.18,1465.51,1492.97,000,1492.97
2014-06-30,1475.89,1495.86,1474.22,1495.84,000,1495.84
2014-06-23,1455.52,1474.64,1453.35,1474.37,000,1474.37
2014-06-16,1451.25,1467.84,1449.08,1455.55,000,1455.55
2014-06-09,1456.42,1466.29,1439.94,1455.28,000,1455.28
2014-06-02,1439.02,1457.68,1426.44,1455.62,000,1455.62
2014-05-27,1420.85,1442.64,1420.07,1439.39,000,1439.39
2014-05-19,1379.00,1417.46,1377.69,1416.92,000,1416.92
2014-05-12,1368.09,1396.12,1366.83,1381.35,000,1381.35
2014-05-05,1375.36,1387.24,1349.61,1368.09,000,1368.09
2014-04-28,1356.57,1392.57,1351.93,1382.28,000,1382.28
2014-04-21,1355.88,1382.01,1351.50,1356.57,000,1356.57
2014-04-14,1340.24,1361.99,1321.59,1353.79,000,1353.79
2014-04-07,1347.71,1383.40,1329.31,1331.09,000,1331.09
2014-03-31,1372.26,1401.87,1349.40,1352.75,000,1352.75
2014-03-24,1383.57,1393.90,1350.66,1364.18,000,1364.18
2014-03-17,1354.88,1393.20,1354.17,1377.91,000,1377.91
2014-03-10,1376.96,1386.05,1347.05,1347.49,000,1347.49
2014-03-03,1357.16,1386.57,1349.97,1375.77,000,1375.77
2014-02-24,1358.81,1380.17,1357.83,1370.53,000,1370.53
2014-02-18,1368.39,1371.57,1353.82,1359.98,000,1359.98
2014-02-10,1322.76,1370.41,1322.70,1367.31,000,1367.31
2014-02-03,1314.52,1325.52,1280.87,1325.52,000,1325.52
2014-01-27,1321.45,1323.07,1280.62,1314.50,000,1314.50
2014-01-21,1349.22,1351.82,1319.49,1319.49,000,1319.49
2014-01-13,1324.34,1359.56,1308.21,1343.50,000,1343.50
2014-01-06,1318.46,1336.84,1313.11,1326.83,000,1326.83
2013-12-30,1332.69,1341.77,1319.93,1319.95,000,1319.95
2013-12-23,1309.77,1342.09,1309.77,1334.88,000,1334.88
2013-12-16,1282.04,1313.87,1269.40,1309.75,000,1309.75
2013-12-09,1302.17,1309.46,1276.98,1278.26,000,1278.26
2013-12-02,1288.38,1301.73,1279.63,1299.52,000,1299.52
2013-11-25,1261.52,1290.11,1254.75,1286.67,000,1286.67
2013-11-18,1266.04,1268.54,1248.42,1257.80,000,1257.80
2013-11-11,1252.88,1273.96,1250.33,1267.77,000,1267.77
2013-11-04,1246.61,1264.21,1241.77,1255.96,000,1255.96
2013-10-28,1238.94,1253.74,1235.52,1243.52,000,1243.52
2013-10-21,1230.68,1248.44,1219.42,1238.50,000,1238.50
2013-10-14,1184.78,1226.84,1184.66,1226.24,000,1226.24
2013-10-07,1176.32,1193.13,1153.47,1192.86,000,1192.86
2013-09-30,1173.19,1193.55,1169.03,1183.13,000,1183.13
2013-09-23,1185.35,1188.71,1164.77,1184.65,000,1184.65
2013-09-16,1185.79,1202.12,1170.46,1188.24,000,1188.24
2013-09-09,1176.03,1194.02,1173.59,1178.80,000,1178.80
