Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,1434.52,1489.16,1412.72,1461.96,000,1461.96
2014-10-20,1406.95,1472.23,1402.54,1454.70,000,1454.70
2014-10-13,1437.94,1453.74,1335.64,1412.34,000,1412.34
2014-10-06,1518.60,1527.70,1428.98,1438.03,000,1438.03
2014-09-29,1565.92,1573.68,1487.27,1511.74,000,1511.74
2014-09-22,1611.60,1611.78,1563.00,1583.15,000,1583.15
2014-09-15,1598.58,1641.87,1592.73,1618.19,000,1618.19
2014-09-08,1662.48,1662.48,1596.51,1602.09,000,1602.09
2014-09-02,1688.14,1689.84,1650.25,1669.72,000,1669.72
2014-08-25,1660.45,1689.44,1660.45,1689.23,000,1689.23
2014-08-18,1641.94,1670.39,1638.77,1656.38,000,1656.38
2014-08-11,1651.24,1659.93,1626.78,1641.94,000,1641.94
2014-08-04,1632.56,1662.68,1617.36,1648.55,000,1648.55
2014-07-28,1688.14,1694.49,1616.31,1630.64,000,1630.64
2014-07-21,1667.05,1704.62,1658.93,1686.25,000,1686.25
2014-07-14,1664.16,1691.58,1657.61,1670.52,000,1670.52
2014-07-07,1683.88,1683.88,1653.06,1656.93,000,1656.93
2014-06-30,1683.76,1692.75,1675.39,1688.70,000,1688.70
2014-06-23,1721.06,1730.19,1668.73,1684.27,000,1684.27
2014-06-16,1677.08,1718.54,1663.28,1717.76,000,1717.76
2014-06-09,1638.90,1677.13,1636.75,1677.13,000,1677.13
2014-06-02,1629.65,1642.51,1617.02,1640.79,000,1640.79
2014-05-27,1617.42,1630.36,1609.16,1627.21,000,1627.21
2014-05-19,1605.70,1626.18,1599.07,1616.25,000,1616.25
2014-05-12,1614.61,1634.37,1600.38,1604.56,000,1604.56
2014-05-05,1610.92,1638.51,1604.71,1614.61,000,1614.61
2014-04-28,1589.97,1622.16,1588.72,1614.15,000,1614.15
2014-04-21,1583.35,1600.12,1581.27,1589.97,000,1589.97
2014-04-14,1530.50,1586.36,1524.42,1584.63,000,1584.63
2014-04-07,1541.90,1549.88,1518.98,1519.41,000,1519.41
2014-03-31,1516.47,1564.99,1505.82,1546.21,000,1546.21
2014-03-24,1484.52,1511.01,1473.11,1509.52,000,1509.52
2014-03-17,1475.21,1496.40,1459.10,1477.48,000,1477.48
2014-03-10,1486.77,1494.12,1461.96,1470.50,000,1470.50
2014-03-03,1468.68,1492.71,1459.79,1488.11,000,1488.11
2014-02-24,1469.05,1492.23,1461.58,1474.77,000,1474.77
2014-02-18,1456.44,1473.13,1455.53,1461.50,000,1461.50
2014-02-10,1413.97,1456.18,1402.81,1453.58,000,1453.58
2014-02-03,1407.21,1415.99,1369.76,1414.74,000,1414.74
2014-01-27,1431.10,1442.62,1404.90,1407.37,000,1407.37
2014-01-21,1470.93,1478.69,1431.39,1431.39,000,1431.39
2014-01-13,1485.92,1485.92,1455.21,1459.95,000,1459.95
2014-01-06,1481.54,1498.36,1475.10,1490.70,000,1490.70
2013-12-30,1496.46,1504.98,1475.85,1479.29,000,1479.29
2013-12-23,1465.41,1498.19,1465.41,1496.30,000,1496.30
2013-12-16,1436.24,1470.49,1434.19,1465.41,000,1465.41
2013-12-09,1471.94,1476.34,1421.80,1432.38,000,1432.38
2013-12-02,1472.23,1482.56,1457.28,1468.34,000,1468.34
2013-11-25,1501.59,1501.59,1472.83,1475.17,000,1475.17
2013-11-18,1487.75,1504.35,1470.91,1503.80,000,1503.80
2013-11-11,1458.45,1481.55,1444.04,1481.25,000,1481.25
2013-11-04,1460.08,1476.93,1439.47,1458.06,000,1458.06
2013-10-28,1462.84,1483.17,1443.37,1455.22,000,1455.22
2013-10-21,1458.83,1470.34,1441.94,1462.08,000,1462.08
2013-10-14,1413.39,1459.13,1409.80,1458.55,000,1458.55
2013-10-07,1396.43,1423.73,1376.14,1419.47,000,1419.47
2013-09-30,1410.41,1413.68,1394.34,1409.20,000,1409.20
2013-09-23,1410.68,1423.76,1404.37,1414.05,000,1414.05
2013-09-16,1413.67,1428.76,1399.55,1413.65,000,1413.65
2013-09-09,1389.13,1411.59,1388.89,1402.20,000,1402.20
2013-09-03,1381.10,1397.68,1370.22,1389.21,000,1389.21
2013-08-26,1376.44,1392.41,1361.06,1368.33,000,1368.33
2013-08-19,1362.99,1373.86,1339.39,1371.67,000,1371.67
2013-08-12,1372.31,1379.46,1360.26,1366.83,000,1366.83
2013-08-05,1388.30,1389.81,1369.11,1380.64,000,1380.64
2013-07-29,1400.78,1405.37,1378.44,1391.04,000,1391.04
2013-07-22,1410.21,1415.44,1392.90,1404.13,000,1404.13
2013-07-15,1383.56,1407.42,1366.61,1407.01,000,1407.01
2013-07-08,1340.77,1382.68,1340.77,1382.68,000,1382.68
2013-07-01,1332.21,1346.20,1318.10,1340.77,000,1340.77
2013-06-24,1312.07,1346.61,1288.24,1329.77,000,1329.77
2013-06-17,1369.32,1383.51,1306.67,1322.93,000,1322.93
2013-06-10,1389.42,1391.29,1353.50,1361.63,000,1361.63
2013-06-03,1388.45,1401.01,1358.33,1385.45,000,1385.45
2013-05-28,1416.03,1423.18,1384.54,1384.56,000,1384.56
2013-05-20,1406.13,1430.99,1380.61,1397.81,000,1397.81
2013-05-13,1378.84,1408.02,1369.77,1407.04,000,1407.04
2013-05-06,1388.44,1402.00,1368.64,1378.84,000,1378.84
2013-04-29,1352.69,1391.32,1343.19,1386.84,000,1386.84
2013-04-22,1288.33,1358.19,1279.49,1343.38,000,1343.38
2013-04-15,1322.21,1322.21,1264.66,1283.89,000,1283.89
2013-04-08,1332.14,1360.92,1322.52,1337.44,000,1337.44
2013-04-01,1358.72,1365.47,1310.70,1330.68,000,1330.68
2013-03-25,1361.37,1366.74,1347.23,1358.70,000,1358.70
2013-03-18,1349.36,1362.08,1332.12,1357.57,000,1357.57
2013-03-11,1345.35,1364.64,1338.51,1360.92,000,1360.92
2013-03-04,1330.33,1353.63,1321.06,1347.22,000,1347.22
2013-02-25,1343.28,1347.34,1288.27,1326.34,000,1326.34
2013-02-19,1342.87,1357.47,1307.79,1334.90,000,1334.90
2013-02-11,1354.82,1355.70,1330.85,1336.52,000,1336.52
2013-02-04,1353.81,1359.44,1337.87,1354.82,000,1354.82
2013-01-28,1341.38,1376.38,1325.53,1368.24,000,1368.24
2013-01-22,1303.18,1332.21,1297.14,1330.22,000,1330.22
2013-01-14,1282.12,1309.19,1278.02,1304.07,000,1304.07
2013-01-07,1269.65,1283.86,1260.48,1282.12,000,1282.12
2012-12-31,1213.51,1279.04,1211.36,1278.10,000,1278.10
2012-12-24,1250.85,1251.10,1215.81,1216.85,000,1216.85
2012-12-17,1239.23,1266.03,1238.83,1252.84,000,1252.84
2012-12-10,1226.57,1252.89,1226.57,1237.44,000,1237.44
2012-12-03,1222.35,1225.74,1203.80,1225.67,000,1225.67
2012-11-26,1214.93,1224.81,1188.75,1216.57,000,1216.57
2012-11-19,1182.64,1222.20,1182.64,1222.14,000,1222.14
2012-11-12,1202.41,1206.67,1155.64,1172.19,000,1172.19
2012-11-05,1222.52,1259.74,1195.77,1201.59,000,1201.59
2012-10-31,1235.85,1248.57,1220.07,1225.23,000,1225.23
2012-10-22,1252.21,1254.85,1206.67,1227.38,000,1227.38
2012-10-15,1229.97,1276.86,1219.58,1252.08,000,1252.08
2012-10-08,1254.07,1266.39,1221.68,1229.69,000,1229.69
2012-10-01,1258.11,1273.60,1244.52,1260.29,000,1260.29
2012-09-24,1277.12,1282.86,1249.59,1258.11,000,1258.11
2012-09-17,1306.63,1311.83,1262.54,1281.32,000,1281.32
2012-09-10,1258.46,1321.71,1250.35,1308.65,000,1308.65
2012-09-04,1230.57,1260.24,1210.09,1260.06,000,1260.06
2012-08-27,1232.72,1239.50,1218.14,1229.57,000,1229.57
2012-08-20,1236.62,1246.72,1216.54,1231.09,000,1231.09
2012-08-13,1242.99,1245.87,1231.42,1238.06,000,1238.06
2012-08-06,1214.33,1245.43,1214.11,1244.56,000,1244.56
2012-07-30,1206.37,1220.00,1174.55,1212.97,000,1212.97
2012-07-23,1172.86,1210.56,1145.55,1207.38,000,1207.38
2012-07-16,1170.92,1203.50,1167.79,1197.04,000,1197.04
2012-07-09,1156.04,1173.63,1135.40,1172.02,000,1172.02
2012-07-02,1167.32,1191.15,1152.45,1159.52,000,1159.52
2012-06-25,1100.69,1165.53,1086.63,1165.53,000,1165.53
2012-06-18,1142.72,1166.56,1105.08,1115.63,000,1115.63
2012-06-11,1134.98,1150.67,1111.79,1150.32,000,1150.32
2012-06-04,1075.93,1144.99,1061.61,1125.24,000,1125.24
2012-05-29,1129.33,1139.97,1069.46,1072.75,000,1072.75
2012-05-21,1106.97,1137.77,1095.49,1119.58,000,1119.58
2012-05-14,1142.89,1147.78,1099.72,1102.97,000,1102.97
2012-05-07,1188.75,1196.63,1151.40,1161.12,000,1161.12
2012-04-30,1235.38,1260.34,1186.83,1193.03,000,1193.03
2012-04-23,1181.51,1229.43,1178.83,1224.20,000,1224.20
2012-04-16,1209.39,1220.62,1195.14,1202.79,000,1202.79
2012-04-09,1225.59,1235.15,1199.02,1201.15,000,1201.15
2012-04-02,1265.62,1291.68,1241.13,1243.65,000,1243.65
2012-03-26,1293.37,1299.12,1240.35,1267.43,000,1267.43
2012-03-19,1323.53,1335.28,1266.50,1283.12,000,1283.12
2012-03-12,1317.25,1332.83,1304.40,1323.77,000,1323.77
2012-03-05,1330.89,1330.89,1296.12,1319.54,000,1319.54
2012-02-27,1337.73,1351.13,1325.88,1332.47,000,1332.47
2012-02-21,1329.63,1346.83,1321.08,1340.28,000,1340.28
2012-02-13,1300.65,1327.23,1299.41,1324.19,000,1324.19
2012-02-06,1287.01,1321.82,1282.21,1300.65,000,1300.65
2012-01-30,1250.89,1295.71,1239.58,1295.01,000,1295.01
2012-01-23,1278.02,1293.77,1255.67,1259.08,000,1259.08
2012-01-17,1255.75,1277.82,1246.93,1273.79,000,1273.79
2012-01-09,1248.95,1273.08,1224.01,1235.66,000,1235.66
2012-01-03,1257.95,1266.71,1244.15,1247.33,000,1247.33
2011-12-27,1231.77,1242.72,1214.26,1229.10,000,1229.10
2011-12-19,1169.56,1234.05,1149.08,1233.88,000,1233.88
2011-12-12,1213.82,1225.27,1159.23,1170.19,000,1170.19
2011-12-05,1246.98,1256.47,1197.22,1227.50,000,1227.50
2011-11-28,1156.88,1238.51,1147.66,1224.77,000,1224.77
2011-11-21,1173.03,1174.21,1114.30,1114.30,000,1114.30
2011-11-14,1251.17,1251.17,1183.57,1188.70,000,1188.70
2011-11-07,1242.30,1274.45,1209.43,1251.17,000,1251.17
2011-10-31,1276.90,1276.90,1164.56,1242.30,000,1242.30
2011-10-24,1205.82,1283.59,1183.65,1276.90,000,1276.90
2011-10-17,1160.13,1207.07,1134.88,1205.82,000,1205.82
2011-10-10,1068.63,1160.37,1068.63,1160.13,000,1160.13
2011-10-03,1031.82,1090.64,958.66,1068.63,000,1068.63
2011-09-26,1027.61,1108.86,1015.79,1031.82,000,1031.82
2011-09-19,1148.83,1153.41,1014.68,1027.61,000,1027.61
2011-09-12,1102.41,1157.70,1076.19,1148.83,000,1148.83
2011-09-06,1123.37,1159.79,1079.39,1102.41,000,1102.41
2011-08-29,1114.49,1177.55,1114.38,1123.37,000,1123.37
2011-08-22,1078.32,1130.06,1073.55,1114.49,000,1114.49
2011-08-15,1129.01,1173.17,1075.27,1078.32,000,1078.32
2011-08-08,1148.91,1148.91,1045.33,1129.01,000,1129.01
2011-08-01,1284.51,1302.97,1105.32,1148.91,000,1148.91
2011-07-25,1344.12,1350.94,1279.38,1284.51,000,1284.51
2011-07-18,1311.87,1348.63,1295.51,1344.12,000,1344.12
2011-07-11,1325.57,1325.57,1284.70,1311.87,000,1311.87
2011-07-05,1318.38,1338.53,1308.53,1325.57,18832500,1325.57
2011-06-27,1228.18,1337.18,1223.80,1318.38,18716000,1318.38
2011-06-20,1244.30,1283.09,1222.07,1228.18,42322000,1228.18
2011-06-13,1262.58,1282.77,1232.42,1244.30,27048000,1244.30
2011-06-06,1293.54,1295.94,1259.60,1262.58,22472000,1262.58
2011-05-31,1315.40,1340.65,1273.54,1293.54,31017500,1293.54
2011-05-23,1288.68,1325.18,1259.47,1315.40,25236000,1315.40
2011-05-16,1282.53,1301.04,1256.11,1288.68,27646000,1288.68
2011-05-09,1308.09,1342.53,1270.11,1282.53,26584000,1282.53
2011-05-02,1402.96,1409.79,1289.50,1308.09,30754000,1308.09
2011-04-25,1363.99,1403.35,1350.72,1402.96,30150000,1402.96
2011-04-18,1340.65,1365.90,1301.79,1363.99,30662500,1363.99
2011-04-11,1392.77,1394.23,1315.95,1340.65,30964000,1340.65
2011-04-04,1391.62,1401.48,1373.10,1392.77,36538000,1392.77
2011-03-28,1373.49,1396.18,1351.35,1391.62,32964000,1391.62
2011-03-21,1310.54,1375.72,1310.54,1373.49,34754000,1373.49
2011-03-14,1314.89,1332.03,1260.66,1310.54,47090000,1310.54
2011-03-07,1368.93,1384.99,1284.37,1314.89,41242000,1314.89
2011-02-28,1354.55,1380.79,1338.41,1368.93,38414000,1368.93
2011-02-22,1357.24,1364.18,1324.37,1354.55,41457500,1354.55
2011-02-14,1300.28,1359.79,1295.90,1357.24,35530000,1357.24
2011-02-07,1300.64,1313.64,1280.36,1300.28,36858000,1300.28
2011-01-31,1268.01,1326.85,1268.01,1300.64,35446000,1300.64
2011-01-24,1261.00,1283.83,1245.58,1268.01,37292000,1268.01
2011-01-18,1266.06,1277.38,1233.86,1261.00,38917500,1261.00
2011-01-10,1216.79,1266.61,1202.80,1266.06,35846000,1266.06
2011-01-03,1213.16,1236.06,1206.25,1216.79,39608000,1216.79
2010-12-27,1192.26,1220.62,1183.76,1213.16,25876000,1213.16
2010-12-20,1164.71,1192.57,1163.10,1192.26,26902500,1192.26
2010-12-13,1165.41,1181.16,1153.13,1164.71,35838000,1164.71
2010-12-06,1147.70,1172.65,1145.73,1165.41,30326000,1165.41
2010-11-29,1101.52,1149.02,1080.71,1147.70,31560000,1147.70
2010-11-22,1124.42,1124.42,1089.92,1101.52,23177500,1101.52
2010-11-15,1128.94,1137.47,1089.59,1124.42,29724000,1124.42
2010-11-08,1136.07,1142.46,1108.81,1128.94,34110000,1128.94
2010-11-01,1079.56,1136.32,1077.71,1136.07,30838000,1136.07
2010-10-25,1087.11,1099.68,1067.75,1079.56,27464000,1079.56
2010-10-18,1088.47,1103.46,1060.79,1087.11,29648000,1087.11
2010-10-11,1080.25,1093.77,1064.00,1088.47,31142000,1088.47
2010-10-04,1052.06,1082.10,1031.79,1080.25,27860000,1080.25
2010-09-27,1014.60,1055.48,1002.97,1052.06,28158000,1052.06
2010-09-20,988.52,1018.19,988.10,1014.60,25756000,1014.60
2010-09-13,991.12,1006.28,987.48,988.52,28292000,988.52
2010-09-07,989.85,994.44,967.94,991.12,22037500,991.12
2010-08-30,944.60,989.96,920.15,989.85,22266000,989.85
2010-08-23,948.68,959.07,915.17,944.60,23656000,944.60
2010-08-16,977.60,990.51,943.09,948.68,20558000,948.68
2010-08-09,1020.38,1028.65,970.04,977.60,20480000,977.60
2010-08-02,978.64,1029.20,978.64,1020.38,19648000,1020.38
2010-07-26,969.86,990.81,966.53,978.64,21190000,978.64
2010-07-19,945.36,970.32,927.35,969.86,18160000,969.86
2010-07-12,946.07,974.82,942.47,945.36,11854000,945.36
2010-07-06,879.38,947.00,879.38,946.07,11337500,946.07
2010-06-28,922.31,926.58,869.61,879.38,14114000,879.38
2010-06-21,977.58,991.55,911.88,922.31,50338000,922.31
2010-06-14,944.58,978.63,939.94,977.58,15480000,977.58
2010-06-07,914.99,944.88,881.46,944.58,12052000,944.58
2010-06-01,963.48,963.48,909.22,914.99,11867500,914.99
2010-05-24,964.81,982.18,908.88,963.48,15110000,963.48
2010-05-17,1007.76,1020.16,931.84,964.81,17932000,964.81
2010-05-10,1001.22,1047.22,995.10,1007.76,18026000,1007.76
2010-05-03,1096.24,1113.42,967.78,1001.22,20004000,1001.22
2010-04-26,1133.44,1134.91,1092.07,1096.24,16936000,1096.24
2010-04-19,1111.82,1133.49,1098.46,1133.44,16650000,1133.44
2010-04-12,1119.61,1133.66,1104.71,1111.82,21522000,1111.82
2010-04-05,1100.93,1120.54,1083.45,1119.61,19886000,1119.61
2010-03-29,1058.18,1102.70,1058.18,1100.93,15407500,1100.93
2010-03-22,1075.26,1079.33,1052.17,1058.18,15378000,1058.18
2010-03-15,1073.90,1098.35,1056.96,1075.26,16240000,1075.26
2010-03-08,1064.54,1079.44,1056.86,1073.90,18126000,1073.90
2010-03-01,1021.07,1064.63,1021.07,1064.54,18734000,1064.54
2010-02-22,1043.92,1047.70,998.03,1021.07,13214000,1021.07
